year,con,gamescnt,sales
1980,2600,9,11.38
1981,2600,46,35.77
1982,2600,36,28.86
1983,NES,6,10.96
1984,2600,1,0.27
1984,NES,13,50.09
1985,DS,1,0.02
1985,PC,1,0.03
1985,2600,1,0.45
1985,NES,11,53.44
1986,2600,2,0.66
1986,NES,19,36.41
1987,NES,10,19.76
1988,GB,1,1.43
1988,PC,1,0.03
1988,2600,2,0.75
1988,NES,11,45.01
1989,2600,2,0.62
1989,NES,5,7.85
1989,GB,10,64.98
1990,GEN,1,2.6
1990,GB,3,4.89
1990,SNES,4,26.16
1990,NES,8,15.74
1991,GEN,1,4.34
1991,NES,7,6.11
1991,GB,9,5.57
1991,SNES,24,16.21
1992,GG,1,0.04
1992,NES,3,1.98
1992,PC,5,3.02
1992,GEN,6,12.66
1992,GB,7,25.48
1992,SNES,21,32.98
1993,SCD,1,1.5
1993,NG,2,0.21
1993,NES,4,3.61
1993,GEN,7,0.65
1993,SNES,46,40.01
1994,NES,1,0.11
1994,GB,3,12.17
1994,NG,4,0.8
1994,SCD,5,0.37
1994,PC,6,12.85
1994,GEN,12,8.11
1994,PS,17,6.02
1994,SAT,19,3.64
1994,SNES,53,35.08
1995,PC,2,4.23
1995,GB,4,3.6
1995,NG,4,0.33
1995,SAT,52,11.58
1995,SNES,54,32.21
1995,PS,99,35.92
1996,PCFX,1,0.03
1996,NG,2,0.1
1996,PC,4,10.59
1996,GB,6,36.02
1996,SNES,30,15.93
1996,SAT,38,7.69
1996,PS,164,94.68
1997,SNES,4,0.99
1997,PC,6,11.26
1997,GB,8,6.37
1997,SAT,34,6.77
1997,PS,188,136.08
1998,SNES,2,0.22
1998,DC,7,3.39
1998,GB,8,26.9
1998,PC,8,3.28
1998,SAT,29,3.82
1998,PS,248,169.58
1999,SNES,1,0.26
1999,SAT,1,0.09
1999,WS,2,0.46
1999,PC,7,4.75
1999,GB,11,38.01
1999,DC,14,5.17
1999,PS,200,144.57
2000,GBA,1,0.06
2000,XB,1,0.99
2000,WS,2,0.68
2000,PC,7,4.68
2000,GB,17,19.76
2000,DC,20,5.99
2000,PS,159,96.28
2001,WS,2,0.28
2001,DC,8,1.07
2001,GB,10,9.24
2001,PC,15,5.51
2001,GC,22,26.3
2001,XB,33,22.24
2001,PS,91,35.52
2001,GBA,107,61.62
2002,DC,1,0.29
2002,PC,19,8.6
2002,PS,20,6.69
2002,GC,152,51.93
2002,XB,158,48.1500000000001
2002,GBA,198,74.38
2003,PS,3,2.05
2003,PC,33,8.96
2003,GC,144,50.66
2003,GBA,150,56.73
2003,XB,189,55.16
2004,PSP,15,7.13
2004,DS,23,17.46
2004,PC,31,10.46
2004,GC,83,28.89
2004,GBA,175,78.09
2004,XB,177,65.5
2005,PC,37,4.47
2005,PSP,97,44.23
2005,GC,97,27.8
2005,DS,118,131.4
2005,GBA,135,33.9
2005,XB,179,49.1700000000001
2006,GBA,39,5.35
2006,GC,40,11.29
2006,Wii,44,137.91
2006,PC,52,2.97
2006,XB,62,10.15
2006,PSP,190,55.85
2006,DS,202,121.15
2007,DC,1,0.02
2007,XB,3,0.55
2007,GC,4,0.27
2007,GBA,6,3.43
2007,PC,63,9.39999999999999
2007,PSP,134,47.48
2007,Wii,187,154.97
2007,DS,377,149.36
2008,XB,1,0.18
2008,DC,1,0.04
2008,PC,76,12.67
2008,PSP,100,34.68
2008,Wii,282,174.16
2008,DS,492,147.890000000001
2009,PC,109,17.16
2009,PSP,161,38.07
2009,Wii,325,210.44
2009,DS,405,121.99
2010,PC,90,24.46
2010,PSP,188,35.11
2010,Wii,254,131.8
2010,DS,326,87.9799999999998
2011,PSV,18,5.15
2011,PSP,139,17.89
2011,PC,140,35.25
2011,Wii,144,62.41
2011,DS,153,27.8
2012,DS,25,11.64
2012,Wii,32,22.77
2012,WiiU,32,17.84
2012,PSV,54,18.53
2012,PC,61,23.53
2012,PSP,106,7.71999999999999
2013,DS,9,1.96
2013,Wii,12,9.36
2013,XOne,19,18.6
2013,PC,38,12.83
2013,WiiU,42,21.84
2013,PSP,54,3.19
2013,PSV,63,12.69
2014,DS,1,0.02
2014,Wii,6,4.44
2014,PSP,10,0.24
2014,WiiU,31,22.51
2014,PC,44,13.39
2014,XOne,61,52.43
2014,PSV,102,14.74
2015,PSP,3,0.12
2015,Wii,4,1.55
2015,WiiU,28,16.38
2015,PC,50,8.07
2015,XOne,79,57.66
2015,PSV,113,7.09999999999999
